id,Name,Phone Number,Specialty,City,Email Address,Years of Experience,Completed Projects,Website
101,Horizon Builders,91 9876543210,Luxury Apartments,Dehradun,horizon.builders@example.com,15 years,50,www.horizonbuilders.com
102,Skyline Ventures,91 8765432198,Commercial Spaces,Rishikesh,skyline.ventures@example.com,10 years,35,www.skylineventures.com
103,GreenScape Creations,91 9988776655,Eco-Friendly Homes,Almora,greenscape.creations@example.com,8 years,25,www.greenscapecreations.com
104,Pinnacle Developers,91 8877665544,High-Rise Buildings,Haridwar,pinnacle.developers@example.com,12 years,40,www.pinnacledevelopers.com
105,Vertex Builders,+91 1122334455,Budget-Friendly Homes,Mussoorie,vertex.builders@example.com,10 years,32,www.vertexbuilders.com
106,UrbanVista Builders,+91 6677889900,Mixed-Use Developments,Haridwar,urbanvista.builders@example.com,11 years,45,www.urbanvistabuilders.com
107,Elite Contractors,+91 5566778899,Villas & Bungalows,Mussoorie,elite.contractors@example.com,14 years,50,www.elitecontractors.com
108,Apex Architects,+91 4455667788,IT Parks,Pauri Garwal,apex.architects@example.com,9 years,28,www.apexarchitects.com
109,Summit Construction,+91 3344556677,Retail Properties,Dehradun,summit.construction@example.com,13 years,40,www.summitconstruction.com
110,Paradise Homes,+91 2233445566,Retirement Communities,Haridwar,paradise.homes@example.com,6 years,40,www.paradisehomes.com
111,Vertex Builders,+91 1122334455,Affordable Housing,Mussoorie,vertex.builders@example.com,10 years,32,www.vertexbuilders.com
112,Nova Infrastructures,+91 7788991122,Greenfield Projects,Dehradun,nova.infrastructures@example.com,9 years,26,www.novainfrastructures.com
113,Emerald Estates,+91 8899776655,Gated Communities,Mussoorie,emerald.estates@example.com,8 years,24,www.emeraldestates.com
114,Zenith Constructions,+91 9099887766,Industrial Estates,Haridwar,zenith.constructions@example.com,12 years,38,www.zenithconstructions.com
115,Cosmo Builders,+91 8080665555,Smart Cities,Bageshwar,cosmo.builders@example.com,14 years,45,www.cosmobuilders.com
116,Heritage Builders,+91 7077555444,Heritage Restorations,Rishikesh,heritage.builders@example.com,16 years,48,www.heritagebuilders.com
117,Vastusri Estates,+91 2022111133,Sustainable Housing,Dehradun,vastusri.estates@example.com,10 years,33,www.vastusriestates.com
118,BluePeak Builders,+91 5055333222,Tourist Resorts,Haridwar,bluepeak.builders@example.com,11 years,37,www.bluepeakbuilders.com
119,Starlight Projects,+91 4044222211,Residential Towers,Dehradun,starlight.projects@example.com,6 years,19,www.starlightprojects.com
120,Pioneer Constructions,+91 3033111199,Transit-Oriented Homes,Rishikesh,pioneer.constructions@example.com,15 years,49,www.pioneerconstructions.com
121,Vastusri Estates,+91 2022111133,Spiritual Retreats,Dehradun,vastusri.estates@example.com,10 years,33,www.vastusriestates.com
122,Paradise Homes,+91 2233445566,Riverside Properites,Haridwar,paradise.homes@example.com,6 years,40,www.paradisehomes.com
123,Dynamic Builders,+91 1811223344,Commercial Plaza,Rishikesh,dynamic.builders@example.com,8 years,23,www.dynamicbuilders.com
124,Rising Ventures,+91 1711112233,Luxury Condos,Mussoorie,rising.ventures@example.com,13 years,35,www.risingventures.com
125,Harmony Builders,+91 1611001122,Family Homes,Haridwar,harmony.builders@example.com,10 years,30,www.harmonybuilders.com
